movieId,userId,rating
1544,1,4.0
2184,1,3.0
3647,1,5.0
557,1,4.0
1729,1,5.0
3353,1,5.0
4780,1,3.0
2371,1,4.0
3236,1,3.0
678,1,4.0
810,1,4.0
3410,1,4.0
676,1,4.0
1814,1,3.0
1821,1,5.0
1839,1,5.0
2281,1,4.0
1361,1,4.0
1362,1,4.0
4273,1,4.0
4274,1,4.0
1110,1,5.0
426,1,3.0
453,1,3.0
384,1,3.0
3843,1,4.0
4222,1,5.0
3017,1,3.0
33,1,5.0
4016,1,4.0
4678,1,4.0
3934,1,5.0
4307,1,5.0
3449,1,4.0
2971,1,5.0
4586,1,5.0
1528,1,4.0
1850,1,5.0
839,1,4.0
3162,1,4.0
2173,1,2.0
3181,1,5.0
2662,1,4.0
2288,1,5.0
2493,1,5.0
3993,1,5.0
4056,1,5.0
1008,1,5.0
429,1,3.0
2568,1,4.0
2327,1,5.0
447,1,4.0
443,1,5.0
380,1,5.0
1377,1,5.0
1755,1,4.0
2408,1,3.0
301,1,3.0
2148,1,4.0
1193,1,4.0
4340,1,5.0
1167,1,4.0
4448,1,5.0
629,1,4.0
1767,1,3.0
1700,1,5.0
432,1,5.0
1912,1,4.0
2533,1,4.0
2111,1,5.0
3061,1,5.0
1971,1,2.0
397,1,5.0
25,1,4.0
3052,1,5.0
2173,1,2.0
3027,1,5.0
2349,1,3.0
1646,1,4.0
3206,1,5.0
4747,1,4.0
3049,1,5.0
3354,1,3.0
279,1,5.0
3429,1,5.0
1026,1,4.0
234,1,4.0
814,1,4.0
871,1,5.0
1169,1,4.0
2317,1,4.0
2519,1,5.0
252,1,5.0
208,1,4.0
3890,1,5.0
4077,1,5.0
4346,1,5.0
663,1,5.0
225,1,4.0
3347,1,5.0
3166,1,5.0
2756,1,4.0
2018,1,5.0
22,1,5.0
3008,1,5.0
2095,1,5.0
1166,1,5.0
1183,1,5.0
1830,1,4.0
2072,1,4.0
656,1,5.0
2730,1,5.0
2178,1,4.0
573,1,4.0
2330,1,4.0
275,1,5.0
2460,1,4.0
4003,1,5.0
4677,1,5.0
874,1,5.0
1921,1,4.0
874,1,4.0
512,1,5.0
2979,2,4.5
275,2,4.0
829,2,4.0
715,2,3.5
555,2,4.0
640,2,5.0
572,2,4.5
1991,2,3.0
440,2,4.0
97,2,4.0
4102,2,5.0
1923,2,5.0
288,2,3.5
96,2,3.0
3871,2,4.0
2755,2,3.5
128,2,5.0
1821,3,0.5
1038,3,0.5
978,3,5.0
2407,3,0.5
2832,3,0.5
2493,3,3.5
1370,3,3.0
380,3,4.5
4448,3,0.5
639,3,0.5
3703,3,0.5
3707,3,0.5
1499,3,0.5
4630,3,5.0
60,3,0.5
1540,4,3.0
2169,4,3.0
3360,4,5.0
1491,4,2.0
4023,4,5.0
2371,4,2.0
3635,4,3.0
3236,4,1.0
2204,4,4.0
3702,4,3.0
3410,4,1.0
1839,4,2.0
1698,4,4.0
426,4,3.0
3603,4,4.0
4012,4,4.0
3990,4,5.0
4336,4,5.0
2407,4,5.0
3819,4,5.0
2220,4,3.0
4678,4,2.0
3934,4,4.0
4079,4,5.0
4586,4,5.0
2608,4,2.0
4609,4,5.0
1850,4,4.0
2173,4,4.0
2331,4,4.0
3243,4,4.0
2662,4,4.0
2667,4,4.0
4056,4,5.0
4486,4,5.0
1008,4,4.0
3451,4,3.0
474,4,1.0
3776,4,5.0
1397,4,4.0
2568,4,4.0
2327,4,4.0
456,4,1.0
1377,4,2.0
2979,4,1.0
1625,4,4.0
3015,4,4.0
353,4,3.0
4092,4,4.0
2021,4,3.0
3454,4,5.0
4579,4,2.0
2533,4,5.0
1878,4,2.0
3484,4,5.0
3027,4,3.0
3220,4,5.0
234,4,1.0
1360,4,4.0
651,4,2.0
830,4,2.0
3831,4,5.0
2519,4,5.0
3535,4,4.0
517,4,5.0
663,4,2.0
2756,4,4.0
2018,4,4.0
1335,4,4.0
1055,4,1.0
1430,4,4.0
1183,4,4.0
910,4,4.0
2151,4,2.0
573,4,1.0
3930,4,2.0
766,4,4.0
3463,4,3.0
3580,4,4.0
1835,4,1.0
1793,4,3.0
478,4,4.0
1007,4,5.0
3577,4,2.0
1584,4,5.0
1834,4,4.0
876,4,1.0
3536,4,1.0
4489,4,5.0
1544,5,4.0
1540,5,4.0
1573,5,4.0
2930,5,4.0
2721,5,3.0
557,5,4.0
636,5,3.0
300,5,3.0
3635,5,5.0
2535,5,4.0
1567,5,1.0
3236,5,5.0
2819,5,3.0
678,5,3.0
3702,5,2.0
283,5,2.0
1821,5,5.0
2035,5,3.0
1698,5,4.0
280,5,3.0
